model,price,transmission,mileage,fuelType,tax,mpg,engineSize,age
 Q2,26985,Automatic,10,Petrol,145,43.5,1.5,6
 A6,46985,Automatic,3510,Diesel,145,36.2,3.0,6
 A3,23985,Automatic,10,Petrol,145,44.8,1.5,6
 A5,28985,Automatic,10,Petrol,145,39.8,2.0,6
 A5,27985,Automatic,1010,Petrol,145,39.8,2.0,6
 A6,28985,Semi-Auto,500,Diesel,145,47.9,2.0,6
 A4,29985,Automatic,10,Petrol,145,42.8,2.0,6
 A3,21995,Manual,10,Diesel,145,54.3,1.6,6
 A5,31985,Automatic,10,Petrol,145,39.8,2.0,6
 A5,32485,Automatic,10,Diesel,145,51.4,2.0,6
 A3,21285,Manual,10,Diesel,145,51.4,1.6,6
 Q7,56985,Automatic,1510,Diesel,145,33.2,3.0,6
 RS3,43785,Semi-Auto,10,Petrol,145,30.1,2.5,6
 A4,18498,Semi-Auto,29845,Petrol,160,45.6,2.0,9
 A3,14995,Semi-Auto,27355,Petrol,160,42.8,1.8,11
 A4,17998,Manual,20885,Diesel,30,64.2,2.0,9
 A3,10985,Automatic,10534,Petrol,30,56.5,1.2,11
 A3,12995,Manual,25895,Diesel,20,70.6,2.0,9
 A1,11495,Manual,32867,Petrol,0,67.3,1.0,9
 Q5,18295,Semi-Auto,42793,Diesel,205,47.1,2.0,10
 A6,18998,Semi-Auto,49039,Diesel,160,50.4,3.0,10
 Q2,18485,Manual,22501,Diesel,145,64.2,1.6,8
 A8,38985,Automatic,1420,Diesel,145,50.4,3.0,8
 A5,29485,Automatic,10,Petrol,145,40.4,2.0,6
 A5,22998,Semi-Auto,26939,Diesel,145,62.8,2.0,8
 A8,18998,Semi-Auto,24786,Diesel,205,47.9,3.0,11
 A4,17698,Manual,18761,Petrol,145,51.4,1.4,8
 A5,27995,Automatic,10,Petrol,145,40.4,2.0,6
 Q3,31985,Manual,10,Diesel,145,42.8,2.0,6
 A4,30995,Automatic,10,Petrol,145,38.7,2.0,6
 A3,18998,Semi-Auto,22295,Petrol,30,56.5,1.4,8
 Q2,16995,Manual,18068,Petrol,145,52.3,1.4,8
 A3,19995,Manual,25000,Petrol,150,42.2,1.5,7
 Q2,14495,Manual,23043,Petrol,150,55.4,1.0,8
 A5,12998,Semi-Auto,80902,Diesel,125,60.1,2.0,11
 A4,32485,Automatic,10,Diesel,145,50.4,2.0,6
 A1,20485,Manual,10,Petrol,145,48.7,1.0,6
 Q3,34485,Automatic,10,Diesel,145,47.1,2.0,6
 Q3,18698,Manual,26474,Diesel,145,52.3,2.0,9
 Q5,15998,Semi-Auto,65458,Diesel,235,44.1,3.0,12
 TT,16498,Manual,34170,Petrol,150,47.1,1.8,7
 Q5,31998,Semi-Auto,100,Petrol,145,33.2,2.0,6
 Q3,35985,Automatic,650,Diesel,145,47.1,2.0,6
 Q5,37985,Automatic,10,Diesel,145,38.2,2.0,6
 Q5,31998,Semi-Auto,10,Petrol,145,33.2,2.0,6
 A4,18998,Manual,2928,Petrol,145,41.5,2.0,6
 Q3,19485,Manual,7157,Petrol,145,51.4,1.4,7
 Q3,19995,Semi-Auto,31600,Diesel,160,50.4,2.0,9
 Q7,47995,Semi-Auto,46600,Diesel,300,39.2,4.0,9
 A3,23485,Manual,10,Diesel,145,56.5,2.0,6
 A5,23998,Semi-Auto,14078,Petrol,145,45.6,2.0,7
 A5,17998,Manual,13312,Diesel,125,57.6,2.0,10
 A6,28985,Semi-Auto,10,Diesel,145,50.4,2.0,7
 RS6,46000,Semi-Auto,20982,Petrol,325,29.4,4.0,10
 A6,26995,Semi-Auto,15600,Diesel,145,50.4,2.0,7
 A6,33985,Automatic,5429,Diesel,145,47.9,2.0,6
 Q2,30985,Automatic,2710,Petrol,145,40.9,1.5,6
 Q7,52985,Automatic,6423,Diesel,145,33.2,3.0,6
 A1,12698,Manual,11017,Petrol,150,67.3,1.0,8
 Q3,17298,Manual,16908,Petrol,125,51.4,1.4,8
 A4,16498,Manual,28801,Petrol,125,49.6,2.0,8
 A4,16798,Manual,23362,Petrol,145,50.4,1.4,8
 Q5,15998,Manual,50025,Petrol,235,37.7,2.0,12
 Q8,63985,Semi-Auto,8450,Diesel,145,32.8,3.0,7
 A6,27985,Semi-Auto,1790,Diesel,145,50.4,2.0,7
 A4,19485,Semi-Auto,10,Petrol,145,53.3,1.4,7
 A4,20985,Manual,10,Petrol,145,52.3,1.4,7
 A3,22285,Automatic,6754,Diesel,145,52.3,1.6,7
 Q3,14500,Semi-Auto,35423,Diesel,200,47.9,2.0,11
 A3,25000,Semi-Auto,16703,Petrol,200,41.5,2.0,8
 Q3,15800,Manual,37203,Petrol,125,51.4,1.4,8
 A3,13500,Semi-Auto,44405,Diesel,125,58.9,2.0,12
 Q3,12000,Manual,79389,Diesel,165,50.4,2.0,11
 A3,13800,Semi-Auto,61808,Diesel,125,57.6,2.0,10
 A1,11000,Manual,10491,Petrol,0,67.3,1.0,9
 A3,19995,Manual,19000,Petrol,150,49.6,2.0,7
 A1,11650,Manual,18900,Petrol,0,67.3,1.0,9
 A3,11850,Manual,50900,Diesel,20,68.9,2.0,11
 A6,12495,Manual,49000,Diesel,325,29.7,2.0,12
 A1,15995,Manual,23081,Petrol,235,39.8,2.0,10
 Q7,82995,Semi-Auto,826,Diesel,145,29.4,4.0,5
 A4,25990,Semi-Auto,5987,Petrol,145,38.2,2.0,6
 A6,30995,Semi-Auto,2977,Diesel,145,47.9,2.0,6
 Q5,34985,Automatic,7573,Diesel,145,39.2,2.0,6
 Q3,31995,Manual,3055,Diesel,145,42.8,2.0,6
 A4,29985,Automatic,22,Petrol,145,38.7,2.0,6
 A4,28485,Automatic,2250,Diesel,145,51.4,2.0,6
 Q5,21498,Semi-Auto,20547,Diesel,200,47.1,2.0,9
 Q5,32895,Automatic,10,Diesel,145,39.2,2.0,6
 A5,22998,Semi-Auto,18828,Petrol,260,35.8,3.0,9
 Q5,35998,Semi-Auto,28,Petrol,145,32.1,2.0,6
 Q7,29985,Automatic,38654,Diesel,200,47.9,3.0,9
 A3,16485,Manual,25764,Petrol,200,40.4,2.0,11
 TT,19485,Manual,28402,Diesel,30,62.8,2.0,9
 A1,13495,Manual,17152,Petrol,30,56.5,1.4,10
 A3,14995,Manual,29775,Petrol,20,60.1,1.4,9
 Q5,39995,Semi-Auto,7801,Petrol,145,34.0,3.0,8
 Q5,22990,Semi-Auto,60599,Diesel,240,42.8,3.0,10
 A1,12495,Manual,20670,Petrol,30,57.6,1.4,8
 A3,24985,Automatic,2257,Diesel,145,52.3,1.6,6
 A3,24485,Manual,4039,Diesel,145,51.4,1.6,6
 A3,16485,Manual,21241,Petrol,125,52.3,1.4,9
 Q3,20485,Manual,16945,Diesel,160,49.6,2.0,9
 A4,24985,Automatic,18010,Petrol,145,49.6,1.4,7
 A4,19995,Semi-Auto,29653,Diesel,145,62.8,2.0,8
 A5,16000,Semi-Auto,75159,Petrol,260,34.9,3.0,11
 Q3,14998,Semi-Auto,33842,Diesel,200,47.9,2.0,11
 A3,13995,Manual,42977,Diesel,20,67.3,2.0,10
 A4,27990,Semi-Auto,26,Diesel,145,47.9,2.0,6
 A1,11995,Manual,17454,Petrol,0,67.3,1.0,9
 A3,15995,Manual,17547,Petrol,150,56.5,1.5,7
 A3,35995,Semi-Auto,314,Petrol,150,34.9,2.0,5
 A1,13585,Manual,25010,Petrol,30,58.9,1.4,9
 A6,31985,Semi-Auto,3278,Diesel,145,47.9,2.0,6
 A7,32985,Automatic,1285,Diesel,145,39.2,3.0,6
 A6,30985,Automatic,4445,Diesel,145,47.9,2.0,6
 A4,34798,Semi-Auto,6998,Petrol,145,38.2,2.0,5
 A4,40780,Semi-Auto,6746,Diesel,145,45.6,2.0,5
 Q7,34995,Semi-Auto,21245,Diesel,205,47.9,3.0,10
 A4,18995,Manual,27394,Diesel,30,64.2,2.0,8
 A1,12995,Manual,29283,Petrol,0,67.3,1.0,9
 A1,14495,Manual,20905,Petrol,30,56.5,1.4,9
 A1,12995,Manual,24386,Petrol,0,67.3,1.0,8
 TT,24995,Semi-Auto,11621,Petrol,150,42.8,2.0,8
 A3,20985,Semi-Auto,3409,Petrol,145,43.5,1.5,6
 Q5,31995,Semi-Auto,30172,Diesel,240,42.2,3.0,9
 A4,13995,Manual,27016,Diesel,30,62.8,2.0,10
 A4,31985,Manual,7456,Petrol,145,40.9,2.0,5
 A6,29490,Semi-Auto,20,Diesel,145,55.4,3.0,6
 A4,20495,Semi-Auto,4781,Petrol,150,40.9,2.0,6
 Q3,21995,Semi-Auto,40254,Petrol,205,40.4,2.0,9
 TT,24995,Semi-Auto,12320,Petrol,150,40.9,2.0,6
 Q2,23995,Manual,16534,Petrol,150,49.6,1.4,7
 Q3,22995,Semi-Auto,20075,Petrol,150,42.2,2.0,8
 A3,15995,Manual,14401,Petrol,20,60.1,1.0,9
 A3,19995,Semi-Auto,19430,Petrol,145,47.9,2.0,9
 RS4,26995,Semi-Auto,28359,Petrol,565,26.4,4.2,12
 Q8,49995,Semi-Auto,16385,Diesel,150,33.6,3.0,6
 A1,11995,Manual,24764,Diesel,0,74.3,1.6,11
 A1,11995,Manual,26141,Petrol,125,53.3,1.4,11
 A5,37331,Semi-Auto,7532,Petrol,145,39.2,2.0,5
 A5,39454,Semi-Auto,7925,Diesel,145,45.6,2.0,5
 A5,37507,Semi-Auto,7639,Petrol,145,39.8,2.0,5
 Q3,33462,Semi-Auto,7914,Diesel,145,48.7,2.0,5
 Q5,30995,Semi-Auto,15706,Petrol,145,40.4,2.0,7
 A4,25990,Manual,4598,Petrol,145,38.2,2.0,6
 A8,38995,Semi-Auto,6588,Diesel,145,48.7,3.0,7
 Q7,31995,Semi-Auto,48248,Diesel,205,47.9,3.0,9
 A3,30995,Semi-Auto,4549,Petrol,150,34.5,2.0,6
 A1,18995,Manual,7564,Petrol,145,51.4,1.0,6
 A8,41995,Semi-Auto,11276,Diesel,145,48.7,3.0,7
 A4,19995,Manual,20141,Diesel,30,67.3,2.0,9
 A3,16995,Manual,16555,Petrol,20,60.1,1.4,9
 A1,14495,Manual,8608,Petrol,145,67.3,1.0,8
 Q3,19995,Manual,18380,Petrol,145,49.6,1.4,8
 Q3,23995,Semi-Auto,27136,Petrol,145,40.4,2.0,8
 A3,13995,Manual,36409,Petrol,20,60.1,1.4,9
 A6,27995,Semi-Auto,35219,Diesel,150,50.4,3.0,8
 Q5,33995,Semi-Auto,10252,Petrol,150,40.4,2.0,7
 A3,17490,Manual,16380,Diesel,145,67.3,1.6,7
 A3,14990,Semi-Auto,30530,Diesel,30,64.2,2.0,10
 Q5,30995,Semi-Auto,37129,Diesel,235,42.2,3.0,9
 A3,13995,Manual,36400,Petrol,20,61.4,1.4,8
 Q7,47995,Semi-Auto,8618,Diesel,145,32.8,3.0,7
 Q2,21995,Manual,9634,Petrol,145,50.4,1.4,7
 Q2,19995,Semi-Auto,18355,Diesel,145,68.9,1.6,8
 Q5,26995,Semi-Auto,28604,Petrol,145,40.9,2.0,8
 A1,15995,Manual,15187,Diesel,145,76.3,1.6,8
 A5,18990,Semi-Auto,43417,Diesel,160,50.4,2.0,10
 A8,35995,Semi-Auto,12195,Diesel,145,50.4,3.0,7
 A5,27995,Semi-Auto,12686,Diesel,145,58.9,3.0,7
 A1,23995,Semi-Auto,5356,Petrol,145,44.1,1.5,6
 A4,31265,Semi-Auto,7963,Petrol,145,41.5,2.0,5
 A5,36312,Semi-Auto,7423,Diesel,145,51.4,2.0,5
 A1,13995,Manual,12148,Petrol,145,67.3,1.0,8
 Q5,31995,Semi-Auto,44525,Diesel,235,42.2,3.0,9
 Q3,18495,Manual,20952,Diesel,145,55.4,2.0,9
 A6,33490,Semi-Auto,4582,Diesel,145,39.2,3.0,6
 Q5,19995,Manual,36970,Diesel,200,47.9,2.0,11
 Q3,17995,Manual,38244,Petrol,145,49.6,1.4,10
 Q7,31995,Semi-Auto,26407,Diesel,200,47.9,3.0,10
 Q2,23995,Manual,6484,Diesel,145,49.6,1.6,6
 A3,20995,Manual,3325,Diesel,145,49.6,1.6,6
 Q3,24995,Semi-Auto,9078,Petrol,145,40.4,2.0,8
 A1,12995,Manual,22427,Petrol,145,67.3,1.0,8
 A4,14995,Semi-Auto,41755,Diesel,150,53.3,2.0,10
 A3,12490,Semi-Auto,35455,Petrol,30,58.9,1.4,10
 A3,14298,Manual,14607,Petrol,20,60.1,1.0,8
 A1,11498,Manual,24952,Petrol,30,55.4,1.4,9
 A5,11998,Manual,49640,Diesel,30,64.2,2.0,11
 Q3,19998,Manual,21576,Petrol,145,49.6,1.4,8
